ham	This is a long file
ham	with
ham	Each WeiRDeR
ham	      ṱĦãŅ
spam	  the
spam	1
ham	  3
ham	    5
ham	        9
ham	          11
ham	            13
ham	             14
ham	              15
spam	                  19
ham	                    21
spam	                      23
ham	                       24
ham	                          27
ham	                            29
ham	                             30
spam	                               32
spam	                                33
spam	                                 34
ham	                                  35
ham	                                     38
ham	                                        41
ham	                                         42
ham	                                          43
spam	                                           44
spam	                                            45
ham	                                              47
ham	                                               48
spam	                                                  51
ham	                                                    53
ham	                                                       56
ham	                                                           60
spam	                                                            61
spam	                                                                65
ham	                                                                 66
ham	                                                                    69
